11-11-2025 23:12:05|WARNING |140 |inner        |main ran in 0.01s                                                                                           |
11-11-2025 23:13:07|INFO    |212 |main         |JSON data loaded                                                                                            |
11-11-2025 23:13:07|INFO    |223 |main         |all sensors successfully queried                                                                            |
11-11-2025 23:13:07|WARNING |140 |inner        |main ran in 0.01s                                                                                           |
11-11-2025 23:13:32|INFO    |215 |main         |JSON data loaded                                                                                            |
11-11-2025 23:13:32|INFO    |226 |main         |all sensors successfully queried                                                                            |
11-11-2025 23:13:32|WARNING |140 |inner        |main ran in 0.01s                                                                                           |
11-11-2025 23:13:50|INFO    |215 |main         |JSON data loaded                                                                                            |
11-11-2025 23:13:50|INFO    |226 |main         |all sensors successfully queried                                                                            |
11-11-2025 23:13:51|WARNING |140 |inner        |main ran in 0.02s                                                                                           |
11-11-2025 23:14:28|INFO    |216 |main         |JSON data loaded                                                                                            |
11-11-2025 23:14:28|INFO    |227 |main         |all sensors successfully queried                                                                            |
11-11-2025 23:14:28|WARNING |140 |inner        |main ran in 0.02s                                                                                           |
11-11-2025 23:15:15|INFO    |218 |main         |JSON data loaded                                                                                            |
11-11-2025 23:15:15|INFO    |229 |main         |all sensors successfully queried                                                                            |
11-11-2025 23:15:15|WARNING |140 |inner        |main ran in 0.02s                                                                                           |
11-11-2025 23:16:06|INFO    |218 |main         |JSON data loaded                                                                                            |
11-11-2025 23:16:06|INFO    |229 |main         |all sensors successfully queried                                                                            |
11-11-2025 23:16:06|WARNING |140 |inner        |main ran in 0.02s                                                                                           |
11-11-2025 23:16:51|INFO    |218 |main         |JSON data loaded                                                                                            |
11-11-2025 23:16:51|INFO    |229 |main         |all sensors successfully queried                                                                            |
11-11-2025 23:16:51|WARNING |140 |inner        |main ran in 0.02s                                                                                           |
11-11-2025 23:17:02|INFO    |218 |main         |JSON data loaded                                                                                            |
11-11-2025 23:17:02|WARNING |33  |get_cpu_temps|CPU temps not found                                                                                         |
11-11-2025 23:17:02|INFO    |229 |main         |all sensors successfully queried                                                                            |
11-11-2025 23:17:02|WARNING |140 |inner        |main ran in 0.20s                                                                                           |
